Brand,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner,Engine_CC,Mileage,Seats,Price
Hyundai,2014,102196,Diesel,Manual,1,1197,20.8,5,282000
Ford,2014,8905,Petrol,Manual,1,998,19.3,7,278000
Volkswagen,2023,41463,Petrol,Manual,1,1497,15.6,5,965000
Hyundai,2015,54797,Petrol,Automatic,2,1396,22.5,7,462000
Hyundai,2020,15328,CNG,Automatic,2,1497,19.5,5,748000
Toyota,2018,15458,Petrol,Manual,1,1998,20.3,5,1103000
Kia,2019,32460,CNG,Automatic,1,1197,19.9,5,924000
Toyota,2016,65589,Diesel,Automatic,3,2198,14.9,5,865000
Toyota,2014,110518,Diesel,Automatic,1,1248,23.9,5,687000
Volkswagen,2020,89259,Diesel,Manual,1,1248,21.7,5,747000
Ford,2023,57350,Diesel,Manual,3,1199,18.6,5,614000
Hyundai,2016,87240,Petrol,Automatic,1,1598,17.0,7,483000
Tata,2022,117824,Petrol,Manual,1,2198,21.8,5,693000
Tata,2020,25730,Diesel,Manual,3,1396,24.6,5,677000
Hyundai,2024,44117,CNG,Manual,1,1199,19.0,5,930000
Kia,2021,7552,Petrol,Automatic,2,1396,15.1,5,1053000
Hyundai,2015,100932,Diesel,Manual,3,2198,22.0,5,404000
Volkswagen,2022,26643,Diesel,Automatic,3,2198,21.8,5,1041000
Ford,2024,90180,Diesel,Automatic,2,1998,13.6,5,762000
Kia,2014,82110,CNG,Manual,1,998,12.9,5,401000
Hyundai,2014,117674,Diesel,Manual,1,1396,20.7,5,267000
Honda,2023,80525,Diesel,Manual,2,1598,14.5,5,961000
Ford,2019,60519,Diesel,Automatic,2,998,20.8,5,462000
Ford,2019,109935,Petrol,Manual,1,2198,17.8,7,483000
Tata,2021,37742,Petrol,Automatic,2,2198,13.3,5,768000
Toyota,2016,58269,Diesel,Automatic,1,1598,23.7,5,964000
Maruti,2020,39760,Diesel,Automatic,1,2198,20.6,7,699000
Toyota,2018,33534,Petrol,Manual,1,998,12.7,7,953000
Mahindra,2016,12455,CNG,Manual,2,1197,19.7,5,646000
Hyundai,2023,37271,CNG,Manual,1,1598,20.5,5,900000
Toyota,2024,98872,Diesel,Manual,1,1199,20.7,5,1221000
Kia,2015,6220,Diesel,Manual,1,1248,18.6,5,692000
Hyundai,2017,53434,Diesel,Manual,1,2198,21.1,5,676000
